,Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,diseased1_P,diseased2_P,diseased3_P,diseased4_P,control1_P,control2_P,control3_P,control4_P,AVE_control,AVE_diseased,FC_control vs diseased,p-value,log2FC
11,A0A024QZX3;A0A024QZX5;A0A087X1N8;P35237;A0A2R8YD12;Q8IXH2;A0A2R8Y6A7;A0A024QZT8;A0A2R8YDD0;A0A2R8Y517;C9JTJ8,A0A024QZX3;A0A024QZX5;A0A087X1N8;P35237;A0A2R8YD12;Q8IXH2;A0A2R8Y6A7,Serpin B6,SERPINB6,"tr|A0A024R001|A0A024R001_HUMAN Transmembrane protein 14C, isoform CRA_a OS=Homo sapiens OX=9606 GN=TMEM14C PE=3 SV=1;tr|Q53F27|Q53F27_HUMAN Transmembrane protein 14C variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;sp|Q9P0S9|TM14C_HUMAN Transmembrane p",33941.22929772861,82859.60789715333,75214.20689321207,92572.48081356703,7035.228000974214,15693.68947965799,30652.75265402142,47310.36086412309,42593.64533050466,53302.66950048635,1.219813430455863,0.00871843527745232,-1.498922912052298
12,B7ZAR0;A0A024QZ03;O60826;B4DPB6;B4DLA4,B7ZAR0;A0A024QZ03;O60826;B4DPB6;B4DLA4,Coiled-coil domain-containing protein 22,CCDC22,"tr|A0A024QZX3|A0A024QZX3_HUMAN Serpin peptidase inhibitor, clade B (Ovalbumin), member 6, isoform CRA_a OS=Homo sapiens OX=9606 GN=SERPINB6 PE=3 SV=1;tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin family B member 6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A",64483.75730036014,58243.80063486779,38930.62119568946,85581.76324892072,46484.34057604026,15892.48721801752,30056.05681062576,33908.86751928421,27627.50882654666,70651.0822599598,1.026067723177565,0.007527166395576413,-0.9685803489778727
13,A0A024QYZ0;P60059,A0A024QYZ0;P60059,Protein transport protein Sec61 subunit gamma,SEC61G,"tr|A0A024QZW7|A0A024QZW7_HUMAN Nucleoporin 153kDa, isoform CRA_a OS=Homo sapiens OX=9606 GN=NUP153 PE=4 SV=1;sp|P49790|NU153_HUMAN Nuclear pore complex protein Nup153 OS=Homo sapiens OX=9606 GN=NUP153 PE=1 SV=2",37783.82376143059,91365.75218608415,60216.16823607756,39749.04508643711,31905.49904649883,49354.27043497703,12627.17360087416,8175.593633019344,28205.58561928029,73501.64199136585,1.996901165800006,0.006186113782151843,-1.1666171822753133
14,P30405;B2R6X6;A0A024QZS4;R4GN99;H0Y548;Q5JC46;A0A8V8TLN4;A0A8V8TL79;A0A8V8TLA0;A0A8V8TMX6;Q6FGM6;Q5JC45;E5KN59;Q05DH6;E5KN55;Q08752;P49792,P30405;B2R6X6;A0A024QZS4,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial;Peptidyl-prolyl cis-trans isomerase",PPIF,"tr|Q53HG3|Q53HG3_HUMAN Peroxisomal D3,D2-enoyl-CoA isomerase isoform 1 variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;tr|Q53GC8|Q53GC8_HUMAN Peroxisomal D3,D2-enoyl-CoA isomerase isoform 1 variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A0C",93444.80695663151,69265.65800747703,82180.7631929031,53443.39302599603,45267.2307692442,27025.37421249034,19261.49023203249,12332.04921866434,55922.17157762855,113152.9556739968,1.698174853660498,0.006801407717603005,-1.5219281584384279
15,B7Z4W7;F6PQP6;E9PBC1;B3KMB3;I3L2B2;B7ZKM5;A0A024QYY1;O95208,B7Z4W7;F6PQP6;E9PBC1;B3KMB3;I3L2B2;B7ZKM5;A0A024QYY1;O95208,Epsin-2,EPN2,"tr|Q5TD07|Q5TD07_HUMAN N-ribosyldihydronicotinamide:quinone reductase 2 OS=Homo sapiens OX=9606 GN=NQO2 PE=1 SV=1;tr|A0A024QZT9|A0A024QZT9_HUMAN NAD(P)H dehydrogenase, quinone 2, isoform CRA_a OS=Homo sapiens OX=9606 GN=NQO2 PE=3 SV=1;sp|P16083|NQO2_HUMAN ",59695.54064728834,68633.478714214,71078.87826146153,73939.56371499924,47277.45237038851,11520.26924410504,43301.15021825856,34641.21342285252,28396.22372382343,54029.70228987597,1.908601547769344,0.006974714616692836,-0.9992997469084216
16,A0A024QYW3;Q04941,A0A024QYW3;Q04941,Proteolipid protein 2,PLP2,"tr|A0A024QZT4|A0A024QZT4_HUMAN Serpin peptidase inhibitor, clade B (Ovalbumin), member 9, isoform CRA_a OS=Homo sapiens OX=9606 GN=SERPINB9 PE=2 SV=1;sp|P50453|SPB9_HUMAN Serpin B9 OS=Homo sapiens OX=9606 GN=SERPINB9 PE=1 SV=1",69088.29748150635,89652.7050222978,67597.45792729835,95788.24865294326,39880.97705125016,15780.28508001376,22329.39778708664,43542.0428534745,49998.41881596711,93202.93396370043,1.293405701040818,0.00837013328363672,-1.406283711124708
17,A0A024R1A4;P68036;A8K4W8;A0A1B0GUS4;A0A8Q3WL22,A0A024R1A4;P68036;A8K4W8;A0A1B0GUS4;A0A8Q3WL22,Ubiquitin-conjugating enzyme E2 L3,UBE2L3,"tr|A0A024R1A4|A0A024R1A4_HUMAN Ubiquitin-conjugating enzyme E2L 3, isoform CRA_a OS=Homo sapiens OX=9606 GN=UBE2L3 PE=3 SV=1;sp|P68036|UB2L3_HUMAN Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens OX=9606 GN=UBE2L3 PE=1 SV=1;tr|A8K4W8|A8K4W8_HUMAN cDNA FL",98207.63653663166,43460.23131660695,40805.39006919416,78765.55767138246,6143.860703484283,44918.88909193028,33030.07141185501,38789.19805061738,20520.07694042944,116018.9883056642,1.66937671035013,0.007496518317429248,-1.0880954440326436
18,A0A024QZN7;Q9NZ45,A0A024QZN7;Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,C10orf70;CISD1,"tr|A0A024QZS3|A0A024QZS3_HUMAN Phosphatidic acid phosphatase type 2A, isoform CRA_a OS=Homo sapiens OX=9606 GN=PPAP2A PE=3 SV=1;sp|O14494|PLPP1_HUMAN Phospholipid phosphatase 1 OS=Homo sapiens OX=9606 GN=PLPP1 PE=1 SV=1;tr|A0A024QZU7|A0A024QZU7_HUMAN Phosp",56338.17098716411,66421.53906326553,85241.98670251368,93453.04776751829,29601.96257044758,7316.543806249521,48362.89896901638,21857.5676581912,40087.8004132497,109911.2062050012,1.805148310851395,0.00850581729094242,-1.4924580636941844
19,A0A384NYN5;A0A024QZN4;V9HWK2;P18206;B3KXA2;B4DKC9;B4DTM7;A0A7R6M8P5;A0A7R6RQ50,A0A384NYN5;A0A024QZN4;V9HWK2;P18206;B3KXA2,Vinculin,VCL;HEL114,tr|A0A024QZS1|A0A024QZS1_HUMAN Molybdopterin synthase catalytic subunit OS=Homo sapiens OX=9606 GN=MOCS2 PE=3 SV=1;sp|O96007|MOC2B_HUMAN Molybdopterin synthase catalytic subunit OS=Homo sapiens OX=9606 GN=MOCS2 PE=1 SV=1,82736.47296812592,77010.12369149597,77537.16234011427,68048.7002779792,28403.06095300149,27620.55604529877,48499.46685696513,7038.680439742004,59874.9700738379,112001.4913478484,0.536601172334807,0.006584518346584255,-1.45253831251734
20,Q53HG3;Q53GC8;A0A0C4DGA2;A0A024QZU5;O75521;B4DLL3;F1LLU7;Q59E94;F8WAW4;Q9NYD2;C9JB63;F8W6J1,Q53HG3;Q53GC8;A0A0C4DGA2;A0A024QZU5;O75521;B4DLL3;F1LLU7;Q59E94;F8WAW4;Q9NYD2;C9JB63,"Enoyl-CoA delta isomerase 2, mitochondrial",ECI2;PECI;HCA64,"tr|A0A024QZY0|A0A024QZY0_HUMAN Biphenyl hydrolase-like (Serine hydrolase breast epithelial mucin-associated antigen), isoform CRA_d OS=Homo sapiens OX=9606 GN=BPHL PE=4 SV=1;sp|Q86WA6|BPHL_HUMAN Valacyclovir hydrolase OS=Homo sapiens OX=9606 GN=BPHL PE=1 S",30794.75513371934,39381.06599154485,49864.31340591071,73405.09291499594,8982.162592336377,35246.09963326453,47126.96483723514,6193.008974372981,21461.98671392379,81513.416422627,1.65078243339669,0.001586051052930737,-0.9877374460365734
21,A0A8V8TQH6;A0A024R0Q4;A0A8V8TPY8;Q8IV08;A0A8V8TRD4;B4DEL6;M0R3G9;A0A8V8TQH4,A0A8V8TQH6;A0A024R0Q4;A0A8V8TPY8;Q8IV08;A0A8V8TRD4;B4DEL6,Phospholipase D3,PLD3,tr|Q5JR08|Q5JR08_HUMAN Ras homolog family member C (Fragment) OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=8;tr|A0A024R0C8|A0A024R0C8_HUMAN Epididymis secretory sperm binding protein OS=Homo sapiens OX=9606 GN=hCG_2043376 PE=2 SV=1;sp|P08134|RHOC_HUMAN Rho-rela,97425.57776084279,54377.88269163102,49956.6618085693,87488.0113270409,49409.91214702328,31590.18244347088,18211.6329919022,8121.258539382446,57844.61848534531,78084.03217592798,0.9308584874811225,0.002870381331749128,-1.4302141295307957
22,Q2NKW8;A0A024R0A8;V5YQL4;O43865;Q6ZMM9;O43210;H0Y8B3;Q6ZNS6;Q96HN2;Q9BTL0,Q2NKW8;A0A024R0A8;V5YQL4;O43865;Q6ZMM9;O43210;H0Y8B3;Q6ZNS6;Q96HN2,Adenosylhomocysteinase;Putative adenosylhomocysteinase 2;Putative adenosylhomocysteinase 3,AHCYL1;FGFR2-AHCYL1;AHCYL2,tr|A0A024R0H7|A0A024R0H7_HUMAN Testis tissue sperm-binding protein Li 44a OS=Homo sapiens OX=9606 GN=WDR77 PE=2 SV=1;sp|Q9BQA1|MEP50_HUMAN Methylosome protein WDR77 OS=Homo sapiens OX=9606 GN=WDR77 PE=1 SV=1;tr|H0Y711|H0Y711_HUMAN WD repeat domain 77 (Frag,33021.19383654033,57757.99476248891,35616.36219631496,38924.20636323877,5248.495270562108,28044.18762346765,44018.25433610466,9249.933234016778,45759.98172956063,98605.76777682002,0.5631397844545428,0.006318135270166684,-0.9334722373981433
23,Q2TB59;A0A024R0C3;Q13423;A0A590UK15;E9PCX7;A0A590UJM2;A0A590UK29;A0A590UJI3;D6RAI5;B4DS88;B4DMN9;Q8N5H5;D6RHU2;A0A590UJA4;A0A590UKC7;D6RCR6,Q2TB59;A0A024R0C3;Q13423;A0A590UK15;E9PCX7;A0A590UJM2;A0A590UK29;A0A590UJI3,"NAD(P) transhydrogenase, mitochondrial",NNT,"tr|H3BLW0|H3BLW0_HUMAN Homeodomain interacting protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=HIPK1 PE=1 SV=1;tr|A0A024R0H9|A0A024R0H9_HUMAN Homeodomain interacting protein kinase 1, isoform CRA_f OS=Homo sapiens OX=9606 GN=HIPK1 PE=4 SV=1;tr|Q5SQL",92380.01795886498,73546.06901595114,66715.79726991782,57810.11033922571,41695.76428046753,15192.30988390721,46095.82486504121,35735.30480373606,36349.36684392385,57195.23028726054,0.5268109021001207,0.002598035810641598,-1.0661322136552722
24,A0A024R1A3;P22314;B4DL67;Q5JRR9;Q5JRS0;Q5JRS2;Q5JRR6;B3KUJ2;Q5JRS1;Q5JRS3,A0A024R1A3;P22314,Ubiquitin-like modifier-activating enzyme 1,UBE1;UBA1,tr|A0A024R1A3|A0A024R1A3_HUMAN E1 ubiquitin-activating enzyme OS=Homo sapiens OX=9606 GN=UBE1 PE=2 SV=1;sp|P22314|UBA1_HUMAN Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3,35441.42458754894,42062.39098411408,70686.67549958287,69559.32285124462,24239.34582613473,45369.96169786597,14711.94623735794,24304.73123187583,55853.43274084479,50945.49047351691,0.7796573932163817,0.009688778552856915,-1.0033022268771539
25,F8VPF5;F8VVA3;F8VYY9;A0A024R125;P54619,F8VPF5;F8VVA3;F8VYY9;A0A024R125;P54619,5-AMP-activated protein kinase subunit gamma-1,PRKAG1,tr|A0A024R172|A0A024R172_HUMAN Prostaglandin reductase 1 OS=Homo sapiens OX=9606 GN=LTB4DH PE=3 SV=1;tr|F2Z3J9|F2Z3J9_HUMAN Prostaglandin reductase 1 OS=Homo sapiens OX=9606 GN=PTGR1 PE=1 SV=3;sp|Q14914|PTGR1_HUMAN Prostaglandin reductase 1 OS=Homo sapiens,70855.92782956104,76729.0416964719,50204.1387268179,95248.27977385288,28522.97732218973,37668.00554916077,39649.70988943749,43628.57383293553,31725.90921044053,113385.0860369794,0.830729313605263,0.00973488969177397,-0.9712358743863747
26,F8VQX6;A0A8Q3SIA8;H0YI09;A0A024R118;Q9H8H3;B4DDW1,F8VQX6;A0A8Q3SIA8;H0YI09;A0A024R118;Q9H8H3;B4DDW1,Methyltransferase-like protein 7A,METTL7A,"tr|A0A024R152|A0A024R152_HUMAN HCG28765, isoform CRA_b OS=Homo sapiens OX=9606 GN=hCG_28765 PE=3 SV=1;tr|A0A024R167|A0A024R167_HUMAN HCG28765, isoform CRA_a OS=Homo sapiens OX=9606 GN=hCG_28765 PE=4 SV=1;tr|B4E2K2|B4E2K2_HUMAN cDNA FLJ55665, highly similar",54734.65596182369,63177.31481840106,72743.40297091429,91048.6736260906,27220.80183639758,20714.43085756974,28500.9467024662,46884.07965216041,28199.37181663284,47326.56586613073,0.7647920480082624,0.008715368061523763,-1.1917704666435207
27,A0A024R172;F2Z3J9;Q14914,A0A024R172;F2Z3J9;Q14914,Prostaglandin reductase 1,LTB4DH;PTGR1,tr|B3KWF2|B3KWF2_HUMAN Choline transporter-like protein OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B3KMS7|B3KMS7_HUMAN Choline transporter-like protein OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024R151|A0A024R151_HUMAN Choline transporter-like protein OS=Homo sapi,62458.88834579875,92775.18869342083,38038.57773174425,31267.71286745883,39693.52309795524,20256.34059719153,10717.72306933482,20336.1593113858,46723.40546282585,68877.91175520215,0.8460047175766381,0.0004574203381251285,-1.302976995819507
28,A8K430;A0A024R145;P05062;A0A3B3IS80;Q8NHT3;A0A3B3ITZ0,A8K430;A0A024R145;P05062;A0A3B3IS80;Q8NHT3,Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase B,ALDOB,tr|F8VPF5|F8VPF5_HUMAN Protein kinase AMP-activated non-catalytic subunit gamma 1 (Fragment) OS=Homo sapiens OX=9606 GN=PRKAG1 PE=1 SV=1;tr|F8VVA3|F8VVA3_HUMAN Protein kinase AMP-activated non-catalytic subunit gamma 1 (Fragment) OS=Homo sapiens OX=9606 GN,73409.28184610757,74861.23213622502,59780.55070314917,71036.0882411758,37096.01542503478,45374.7091078997,6680.668493714649,23567.79546101419,54227.85872425143,95575.71766835413,1.474469973488553,0.005821704601762733,-1.3079825848684168
29,B2R6C0;A0A024R138;P21695;B4DJ37;Q13139,B2R6C0;A0A024R138;P21695,"Glycerol-3-phosphate dehydrogenase [NAD(+)];Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",GPD1,tr|F8VQX6|F8VQX6_HUMAN Methyltransferase like 7A (Fragment) OS=Homo sapiens OX=9606 GN=TMT1A PE=1 SV=1;tr|A0A8Q3SIA8|A0A8Q3SIA8_HUMAN Methyltransferase type 11 domain-containing protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|H0YI09|H0YI09_HUMAN Methyltransfe,61895.9726949999,39717.90208545871,52657.54654829706,40734.59821812561,10381.74106722358,9189.624551265464,6372.511247257225,49572.7313900303,48890.67727422637,103953.2703175183,1.914097661202689,0.000673506014687717,-1.3686527842914953
30,P84077;P61204;A0A024R0Y6;A0A024R3Q0;A0A8V8TQC0;A0A8V8TNZ5;A0A8V8TNZ0;B4E190;A0A8V8TQP8;B4DN70;B4DEB9;F5H423;B4DJC8;A0A8V8TP92;F5H0C7;A0A8V8TP99;H0YGG7;F5H6T5;F8WDB3;F5H1V1,P84077;P61204;A0A024R0Y6;A0A024R3Q0;A0A8V8TQC0;A0A8V8TNZ5;A0A8V8TNZ0;B4E190;A0A8V8TQP8;B4DN70;B4DEB9;F5H423;B4DJC8,ADP-ribosylation factor 1;ADP-ribosylation factor 3,ARF1;ARF3,sp|P84077|ARF1_HUMAN ADP-ribosylation factor 1 OS=Homo sapiens OX=9606 GN=ARF1 PE=1 SV=2;sp|P61204|ARF3_HUMAN ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2;tr|A0A024R0Y6|A0A024R0Y6_HUMAN ADP-ribosylation factor OS=Homo sapiens OX=9606,92318.46487236414,40633.1885458606,43093.06239902663,96309.83377282707,26249.67163228772,15883.35309052033,31587.49672560548,41307.56326702688,29726.88763997817,105528.185413936,0.8475075520751651,0.007081720886452816,-1.243499821305105
31,P08237;A0A2R8Y891;A0A024R0Y5;A0A0S2Z4I1;Q96I60;A0A0S2Z4A1;F8VZI0;B4E162;Q7KYX9;A0A0S2Z4A8;F8VZQ1;F8VX13;F8VP00;F8VW30;F8VYK8;F8VUB8;Q7Z683;F8VSF7;P78457;F8VVE3;H0YHB8,P08237;A0A2R8Y891;A0A024R0Y5;A0A0S2Z4I1;Q96I60;A0A0S2Z4A1;F8VZI0;B4E162;Q7KYX9;A0A0S2Z4A8,"ATP-dependent 6-phosphofructokinase, muscle type;ATP-dependent 6-phosphofructokinase",PFKM,"sp|P08237|PFKAM_HUMAN ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2;tr|A0A2R8Y891|A0A2R8Y891_HUMAN ATP-dependent 6-phosphofructokinase OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=1;tr|A0A024R0Y5|A0A024R0Y5_HUMAN ATP",96528.80388535911,38963.20872704407,83864.50532343559,62340.40625508928,44924.5734159347,28834.27602602029,17894.3563457728,38777.66382383862,23977.65571037381,59712.16265912855,1.986752939205465,0.003009635669468162,-1.1108584526510032
32,A0A024R0V8;P63302;M0QYX1,A0A024R0V8;P63302;M0QYX1,Selenoprotein W,SEPW1,"tr|A0A024R0V8|A0A024R0V8_HUMAN Selenoprotein W, 1 (Fragment) OS=Homo sapiens OX=9606 GN=SEPW1 PE=4 SV=1;sp|P63302|SELW_HUMAN Selenoprotein W OS=Homo sapiens OX=9606 GN=SELENOW PE=1 SV=3;tr|M0QYX1|M0QYX1_HUMAN Selenoprotein W OS=Homo sapiens OX=9606 GN=SELE",49667.42327145612,39021.58053374544,49598.53655621989,58059.59917345479,33690.08621098459,29984.03652197581,29419.00856184095,12984.77947008753,29527.31124186906,74786.18708829969,0.7505509191381128,0.000678370591051719,-0.888282313841122
